Account-Balance,Duration-of-Credit-Month,Payment-Status-of-Previous-Credit,Purpose,Credit-Amount,Value-Savings-Stocks,Length-of-current-employment,Instalment-per-cent,Guarantors,Duration-in-Current-address,Most-valuable-available-asset,Age-years,Concurrent-Credits,Type-of-apartment,No-of-Credits-at-this-Bank,Occupation,No-of-dependents,Telephone,Foreign-Worker,Credit-Application-Result
No Account,14,Paid Up,Home Related,1410,POUND_100-POUND_1000,4-7 yrs,1,None,2,1,35,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
No Account,14,Paid Up,Home Related,8978,None,4-7 yrs,1,None,,2,45,Other Banks/Depts,2,1,1,1,2,2,Non-Creditworthy
No Account,15,Some Problems,Home Related,950,None,4-7 yrs,4,None,,3,33,Other Banks/Depts,1,More than 1,1,2,1,1,Non-Creditworthy
Some Balance,15,No Problems (in this bank),Used car,960,POUND_100-POUND_1000,1-4 yrs,3,None,,2,30,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,15,No Problems (in this bank),Used car,975,None,< 1yr,2,None,,2,25,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
Some Balance,15,Paid Up,New car,1300,POUND_100-POUND_1000,4-7 yrs,4,None,,4,45,Other Banks/Depts,3,1,1,2,1,1,Creditworthy
No Account,15,Paid Up,Home Related,1308,None,4-7 yrs,4,None,,3,38,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
Some Balance,15,No Problems (in this bank),Home Related,1360,None,< 1yr,4,None,,2,31,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
Some Balance,15,Paid Up,Home Related,1386,POUND_100-POUND_1000,< 1yr,4,None,2,1,40,Other Banks/Depts,1,1,1,1,2,1,Creditworthy
Some Balance,15,No Problems (in this bank),Home Related,1471,None,< 1yr,4,None,,4,35,Other Banks/Depts,3,More than 1,1,1,2,1,Creditworthy
No Account,15,No Problems (in this bank),Home Related,1512,POUND_100-POUND_1000,< 1yr,3,None,,2,61,Other Banks/Depts,2,More than 1,1,1,1,1,Non-Creditworthy
Some Balance,15,No Problems (in this bank),Used car,1520,POUND_100-POUND_1000,4-7 yrs,4,None,,2,63,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,15,Some Problems,Home Related,1778,None,< 1yr,2,None,1,1,26,Other Banks/Depts,1,More than 1,1,1,1,1,Non-Creditworthy
Some Balance,15,No Problems (in this bank),Home Related,1829,None,4-7 yrs,4,None,,3,46,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
Some Balance,15,Paid Up,Home Related,1905,None,4-7 yrs,4,None,,3,40,Other Banks/Depts,1,1,1,1,2,1,Creditworthy
Some Balance,15,Paid Up,Used car,2221,POUND_100-POUND_1000,< 1yr,2,None,,3,20,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
No Account,15,No Problems (in this bank),Home Related,2326,POUND_100-POUND_1000,< 1yr,2,None,,3,27,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,15,Paid Up,Home Related,2327,None,< 1yr,2,None,3,1,25,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
No Account,15,Paid Up,Home Related,2511,None,< 1yr,1,None,,3,23,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
No Account,15,Paid Up,Home Related,2631,< POUND_100,< 1yr,2,None,,3,28,Other Banks/Depts,1,More than 1,1,1,2,1,Non-Creditworthy
Some Balance,15,Paid Up,Home Related,2687,None,1-4 yrs,2,None,,2,26,Other Banks/Depts,1,1,1,1,2,1,Creditworthy
Some Balance,15,No Problems (in this bank),Used car,2788,None,1-4 yrs,2,Yes,,3,24,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
Some Balance,15,Paid Up,Home Related,3186,POUND_100-POUND_1000,1-4 yrs,2,None,,3,20,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
Some Balance,15,No Problems (in this bank),Used car,3343,None,< 1yr,4,None,,4,28,Other Banks/Depts,3,1,1,1,2,1,Creditworthy
Some Balance,15,No Problems (in this bank),New car,3594,None,< 1yr,1,None,,2,46,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
Some Balance,15,Paid Up,New car,4657,None,< 1yr,3,None,,3,30,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
No Account,16,No Problems (in this bank),Home Related,2625,None,4-7 yrs,2,Yes,,2,43,Other Banks/Depts,1,1,1,1,2,2,Non-Creditworthy
No Account,18,Paid Up,Home Related,866,None,< 1yr,4,Yes,2,1,25,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,18,No Problems (in this bank),Home Related,1028,None,< 1yr,4,None,3,1,36,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,18,No Problems (in this bank),Used car,1049,None,< 1yr,4,None,,2,21,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
Some Balance,18,No Problems (in this bank),Home Related,1055,None,< 1yr,4,None,,2,30,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
Some Balance,18,No Problems (in this bank),Home Related,1098,None,< 1yr,4,None,,3,65,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
Some Balance,18,No Problems (in this bank),Home Related,1149,POUND_100-POUND_1000,< 1yr,4,None,3,1,46,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,18,Paid Up,Home Related,1216,None,< 1yr,4,None,,3,23,Other Banks/Depts,1,1,1,1,2,1,Non-Creditworthy
No Account,18,Paid Up,Home Related,1217,None,< 1yr,4,None,3,1,47,Other Banks/Depts,2,1,1,1,2,1,Non-Creditworthy
No Account,18,Paid Up,Home Related,1301,None,4-7 yrs,4,Yes,2,1,32,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,18,Paid Up,Home Related,1345,None,< 1yr,4,None,3,1,26,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
No Account,18,Some Problems,Home Related,1442,None,1-4 yrs,4,None,,4,32,Other Banks/Depts,3,More than 1,1,2,1,1,Non-Creditworthy
Some Balance,18,Paid Up,Home Related,1453,None,< 1yr,3,None,1,1,26,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,18,Paid Up,Home Related,1473,None,< 1yr,3,None,4,1,39,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,18,Paid Up,Used car,1533,None,< 1yr,4,Yes,,2,43,Other Banks/Depts,2,1,1,2,1,1,Non-Creditworthy
No Account,18,Some Problems,Used car,1553,None,< 1yr,4,None,,3,44,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
Some Balance,18,No Problems (in this bank),Home Related,1582,POUND_100-POUND_1000,4-7 yrs,4,None,,3,46,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,18,No Problems (in this bank),Home Related,1795,None,4-7 yrs,3,Yes,4,1,48,Other Banks/Depts,1,More than 1,1,1,2,1,Creditworthy
Some Balance,18,No Problems (in this bank),Home Related,1800,None,< 1yr,4,None,,3,24,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
Some Balance,18,No Problems (in this bank),Home Related,1864,< POUND_100,< 1yr,4,None,2,1,30,Other Banks/Depts,2,More than 1,1,1,1,1,Non-Creditworthy
No Account,18,No Problems (in this bank),Used car,1928,None,< 1yr,2,None,2,1,31,Other Banks/Depts,2,More than 1,1,1,1,1,Non-Creditworthy
No Account,18,Paid Up,Home Related,1936,POUND_100-POUND_1000,1-4 yrs,2,None,,3,23,Other Banks/Depts,1,More than 1,1,1,1,1,Creditworthy
Some Balance,18,Paid Up,Home Related,1961,None,4-7 yrs,3,None,,3,23,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,18,Paid Up,Used car,1984,None,< 1yr,4,None,,4,47,Other Banks/Depts,3,More than 1,1,1,1,1,Creditworthy
No Account,18,Paid Up,Used car,2039,None,< 1yr,1,None,4,1,20,Other Banks/Depts,1,1,1,1,1,1,Non-Creditworthy
Some Balance,18,Paid Up,Home Related,2100,None,< 1yr,4,Yes,2,1,37,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
Some Balance,18,No Problems (in this bank),Home Related,2169,None,< 1yr,4,None,,3,28,Other Banks/Depts,2,1,1,1,2,1,Non-Creditworthy
Some Balance,18,No Problems (in this bank),Home Related,2238,None,< 1yr,2,None,,3,25,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,18,Paid Up,Home Related,2249,< POUND_100,1-4 yrs,4,None,,3,30,Other Banks/Depts,2,1,1,2,2,1,Creditworthy
Some Balance,18,No Problems (in this bank),Home Related,2404,None,< 1yr,2,None,,3,26,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
Some Balance,18,Paid Up,Used car,2515,None,< 1yr,3,None,4,1,43,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
No Account,18,Paid Up,Home Related,2622,< POUND_100,< 1yr,4,None,,3,34,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,18,No Problems (in this bank),Home Related,2775,None,1-4 yrs,2,None,,2,31,Other Banks/Depts,2,More than 1,1,1,1,1,Non-Creditworthy
Some Balance,18,Paid Up,Used car,2864,None,< 1yr,2,None,1,1,34,Other Banks/Depts,2,1,1,2,1,1,Non-Creditworthy
No Account,18,No Problems (in this bank),Home Related,2899,POUND_100-POUND_1000,4-7 yrs,4,None,,3,43,Other Banks/Depts,2,1,1,2,1,1,Creditworthy
No Account,18,Paid Up,Home Related,3213,POUND_100-POUND_1000,< 1yr,1,None,3,1,25,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
No Account,18,No Problems (in this bank),Home Related,3590,None,< 1yr,3,None,,3,40,Other Banks/Depts,2,More than 1,1,2,2,1,Creditworthy
No Account,18,No Problems (in this bank),Used car,3612,None,4-7 yrs,3,None,,2,37,Other Banks/Depts,2,1,1,1,2,2,Creditworthy
No Account,18,Paid Up,Used car,3650,None,< 1yr,1,None,,3,22,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
Some Balance,18,No Problems (in this bank),New car,3850,None,1-4 yrs,3,None,,3,27,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,18,No Problems (in this bank),Used car,4297,None,4-7 yrs,4,None,,4,40,Other Banks/Depts,2,1,1,1,2,1,Non-Creditworthy
No Account,18,Paid Up,Home Related,4380,< POUND_100,< 1yr,3,None,,3,35,Other Banks/Depts,2,1,1,2,2,1,Creditworthy
No Account,18,Paid Up,Home Related,4439,None,4-7 yrs,1,Yes,1,1,33,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,18,Paid Up,Home Related,4594,None,< 1yr,3,None,,3,32,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
No Account,18,No Problems (in this bank),Used car,7374,None,< 1yr,4,None,,2,40,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
No Account,18,Paid Up,New car,7511,POUND_100-POUND_1000,4-7 yrs,1,None,,2,51,Other Banks/Depts,3,1,1,2,2,1,Non-Creditworthy
No Account,20,Paid Up,Used car,2212,POUND_100-POUND_1000,1-4 yrs,4,None,,3,39,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
No Account,20,No Problems (in this bank),Other,2235,None,< 1yr,4,Yes,2,2,33,Other Banks/Depts,1,More than 1,1,1,1,2,Non-Creditworthy
No Account,20,No Problems (in this bank),Home Related,2235,None,< 1yr,4,Yes,,2,33,Other Banks/Depts,1,More than 1,1,1,1,2,Non-Creditworthy
Some Balance,20,No Problems (in this bank),Home Related,3485,POUND_100-POUND_1000,< 1yr,2,None,4,1,44,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
No Account,21,No Problems (in this bank),Home Related,571,None,4-7 yrs,4,None,4,1,65,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,21,Paid Up,Home Related,1188,None,4-7 yrs,2,None,,2,39,Other Banks/Depts,2,1,1,2,1,1,Non-Creditworthy
Some Balance,21,Paid Up,Used car,2241,None,4-7 yrs,4,None,2,1,50,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
Some Balance,21,No Problems (in this bank),Used car,2288,None,< 1yr,4,None,,2,23,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,21,No Problems (in this bank),Home Related,2580,POUND_100-POUND_1000,< 1yr,4,None,2,1,41,Other Banks/Depts,2,1,1,2,1,1,Non-Creditworthy
No Account,21,No Problems (in this bank),Used car,2745,POUND_100-POUND_1000,1-4 yrs,3,None,,3,32,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
Some Balance,21,Paid Up,Home Related,2782,POUND_100-POUND_1000,1-4 yrs,1,None,,3,31,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,21,Paid Up,Home Related,3160,POUND_100-POUND_1000,4-7 yrs,4,None,,2,41,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,21,No Problems (in this bank),New car,3275,None,4-7 yrs,1,None,,3,36,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
No Account,21,Paid Up,Home Related,3357,POUND_100-POUND_1000,< 1yr,4,None,,3,29,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,21,Paid Up,Used car,3599,None,1-4 yrs,1,None,,3,26,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
No Account,21,Paid Up,Used car,3976,POUND_100-POUND_1000,1-4 yrs,2,None,,3,35,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,21,No Problems (in this bank),Home Related,12680,POUND_100-POUND_1000,4-7 yrs,4,None,,4,30,Other Banks/Depts,3,1,1,1,2,1,Non-Creditworthy
Some Balance,22,Paid Up,Home Related,1283,POUND_100-POUND_1000,1-4 yrs,4,None,,2,25,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
Some Balance,24,No Problems (in this bank),Home Related,717,POUND_100-POUND_1000,4-7 yrs,4,None,,3,54,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
Some Balance,24,Paid Up,Used car,929,POUND_100-POUND_1000,1-4 yrs,4,None,,3,31,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,24,Paid Up,Home Related,937,None,< 1yr,4,None,,3,27,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
Some Balance,24,Paid Up,Home Related,947,None,1-4 yrs,4,None,,4,38,Other Banks/Depts,3,1,1,2,1,1,Non-Creditworthy
Some Balance,24,Paid Up,Home Related,999,POUND_100-POUND_1000,4-7 yrs,4,None,,3,25,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,24,Some Problems,Home Related,1193,None,< 1yr,1,Yes,,4,29,Other Banks/Depts,1,More than 1,1,1,1,1,Non-Creditworthy
No Account,24,Paid Up,Home Related,1201,None,< 1yr,4,None,,2,26,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,24,No Problems (in this bank),Home Related,1231,POUND_100-POUND_1000,4-7 yrs,4,None,,2,57,Other Banks/Depts,1,More than 1,1,1,2,1,Creditworthy
No Account,24,Paid Up,Home Related,1246,None,< 1yr,4,None,2,1,23,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
Some Balance,24,Paid Up,Home Related,1249,None,< 1yr,4,None,2,1,28,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,24,Paid Up,Home Related,1258,None,1-4 yrs,4,None,1,1,25,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,24,Paid Up,Home Related,1258,POUND_100-POUND_1000,< 1yr,3,None,,3,57,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,24,No Problems (in this bank),Home Related,1275,POUND_100-POUND_1000,< 1yr,2,None,4,1,36,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
Some Balance,24,Paid Up,Home Related,1278,None,4-7 yrs,4,None,1,1,36,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,24,No Problems (in this bank),Home Related,1287,POUND_100-POUND_1000,4-7 yrs,4,None,4,1,37,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
Some Balance,24,Paid Up,Home Related,1311,< POUND_100,1-4 yrs,4,None,,2,26,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,24,No Problems (in this bank),Home Related,1344,POUND_100-POUND_1000,1-4 yrs,4,None,2,1,37,Other Banks/Depts,2,More than 1,1,2,1,1,Non-Creditworthy
No Account,24,Paid Up,Home Related,1355,None,< 1yr,3,None,,3,25,Other Banks/Depts,2,1,1,1,2,1,Non-Creditworthy
No Account,24,Some Problems,Home Related,1358,POUND_100-POUND_1000,4-7 yrs,4,None,,3,40,Other Banks/Depts,2,1,1,1,2,1,Non-Creditworthy
No Account,24,Paid Up,Home Related,1371,POUND_100-POUND_1000,< 1yr,4,None,4,1,25,Other Banks/Depts,1,1,1,1,1,1,Non-Creditworthy
Some Balance,24,Paid Up,Home Related,1376,POUND_100-POUND_1000,1-4 yrs,4,None,,3,28,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,24,Paid Up,Home Related,1377,< POUND_100,4-7 yrs,4,None,,4,47,Other Banks/Depts,3,1,1,1,2,1,Creditworthy
No Account,24,No Problems (in this bank),Home Related,1382,< POUND_100,1-4 yrs,4,None,1,1,26,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
Some Balance,24,Paid Up,Home Related,1393,None,< 1yr,2,Yes,2,1,31,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,24,Paid Up,Home Related,1413,None,< 1yr,4,None,,2,28,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,24,Paid Up,Home Related,1442,None,1-4 yrs,4,None,,3,23,Other Banks/Depts,1,More than 1,1,1,1,1,Non-Creditworthy
Some Balance,24,Paid Up,Home Related,1469,< POUND_100,4-7 yrs,4,None,4,1,41,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
Some Balance,24,No Problems (in this bank),Home Related,1516,POUND_100-POUND_1000,< 1yr,4,None,1,1,43,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,24,Some Problems,Home Related,1546,None,1-4 yrs,4,Yes,,3,24,Other Banks/Depts,1,1,1,1,1,1,Non-Creditworthy
Some Balance,24,Paid Up,Home Related,1552,None,1-4 yrs,3,None,,3,32,Other Banks/Depts,2,1,1,2,1,1,Creditworthy
No Account,24,No Problems (in this bank),Home Related,1553,< POUND_100,1-4 yrs,3,None,,2,23,Other Banks/Depts,1,More than 1,1,1,2,1,Creditworthy
Some Balance,24,No Problems (in this bank),Home Related,1597,None,4-7 yrs,4,None,,4,54,Other Banks/Depts,3,More than 1,1,2,1,1,Creditworthy
No Account,24,No Problems (in this bank),Home Related,1743,None,4-7 yrs,4,None,,2,48,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,24,Paid Up,Used car,1747,None,< 1yr,4,Yes,,2,24,Other Banks/Depts,2,1,1,1,1,2,Creditworthy
No Account,24,Some Problems,Home Related,1837,None,1-4 yrs,4,None,,4,34,Other Banks/Depts,3,1,1,1,1,1,Non-Creditworthy
Some Balance,24,No Problems (in this bank),Home Related,1851,None,1-4 yrs,4,Yes,,3,33,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
Some Balance,24,Paid Up,Home Related,1901,< POUND_100,< 1yr,4,None,,3,29,Other Banks/Depts,1,1,1,1,2,1,Creditworthy
Some Balance,24,Paid Up,Used car,1925,None,< 1yr,2,None,2,1,26,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,24,No Problems (in this bank),Home Related,1927,POUND_100-POUND_1000,< 1yr,3,None,,3,33,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
No Account,24,No Problems (in this bank),Home Related,1935,None,4-7 yrs,4,None,4,1,31,Other Banks/Depts,2,More than 1,1,1,2,1,Non-Creditworthy
Some Balance,24,No Problems (in this bank),Home Related,1940,POUND_100-POUND_1000,4-7 yrs,4,None,4,1,60,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
No Account,24,No Problems (in this bank),Home Related,1965,POUND_100-POUND_1000,< 1yr,4,None,,3,42,Other Banks/Depts,1,More than 1,1,1,2,1,Creditworthy
No Account,24,Paid Up,Home Related,1967,None,4-7 yrs,4,None,,3,20,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,24,No Problems (in this bank),Home Related,2022,None,< 1yr,4,None,,3,37,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,24,No Problems (in this bank),Used car,2028,None,1-4 yrs,2,None,,2,30,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,24,No Problems (in this bank),Used car,2064,None,< 1yr,3,None,,2,34,Other Banks/Depts,2,1,1,1,2,1,Non-Creditworthy
Some Balance,24,No Problems (in this bank),New car,2197,POUND_100-POUND_1000,1-4 yrs,4,None,,3,43,Other Banks/Depts,2,More than 1,1,2,2,1,Creditworthy
No Account,24,Some Problems,Home Related,2325,< POUND_100,1-4 yrs,2,None,,3,32,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,24,No Problems (in this bank),New car,2346,None,1-4 yrs,4,None,,3,35,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
No Account,24,Paid Up,Other,2384,None,4-7 yrs,4,None,4,1,,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
No Account,24,Paid Up,Home Related,2384,None,4-7 yrs,4,None,4,1,64,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
No Account,24,Paid Up,Home Related,2439,None,< 1yr,4,None,4,1,35,Other Banks/Depts,2,1,1,1,2,1,Non-Creditworthy
Some Balance,24,No Problems (in this bank),Home Related,2463,< POUND_100,1-4 yrs,4,None,,2,27,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
Some Balance,24,No Problems (in this bank),Home Related,2578,POUND_100-POUND_1000,4-7 yrs,2,None,,3,34,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,24,Paid Up,New car,2670,None,4-7 yrs,4,None,,3,35,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,24,Paid Up,New car,2679,None,< 1yr,4,None,,4,29,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,24,No Problems (in this bank),Home Related,2684,None,< 1yr,4,None,2,1,35,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,24,No Problems (in this bank),Home Related,2825,POUND_100-POUND_1000,1-4 yrs,4,None,,4,34,Other Banks/Depts,2,More than 1,1,2,2,1,Creditworthy
No Account,24,Some Problems,Used car,2828,POUND_100-POUND_1000,< 1yr,4,None,4,1,22,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,24,Paid Up,Used car,2835,POUND_100-POUND_1000,4-7 yrs,3,None,,2,53,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,24,No Problems (in this bank),Home Related,2872,< POUND_100,4-7 yrs,3,None,4,1,36,Other Banks/Depts,2,1,1,2,2,1,Creditworthy
Some Balance,24,Paid Up,Used car,2892,None,4-7 yrs,3,None,,4,51,Other Banks/Depts,3,1,1,1,1,1,Creditworthy
No Account,24,Paid Up,Home Related,2896,< POUND_100,< 1yr,2,None,,3,29,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,24,Paid Up,New car,2910,None,1-4 yrs,2,None,,4,34,Other Banks/Depts,3,1,1,1,2,1,Creditworthy
Some Balance,24,No Problems (in this bank),Home Related,2978,POUND_100-POUND_1000,< 1yr,4,None,4,1,32,Other Banks/Depts,2,More than 1,1,2,2,1,Creditworthy
No Account,24,Paid Up,Used car,3021,None,< 1yr,2,None,2,1,24,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
No Account,24,Paid Up,Home Related,3092,< POUND_100,< 1yr,3,None,,3,22,Other Banks/Depts,1,1,1,1,2,1,Non-Creditworthy
Some Balance,24,Paid Up,Home Related,3105,POUND_100-POUND_1000,< 1yr,4,None,,3,25,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,24,Some Problems,Home Related,3161,None,< 1yr,4,None,,2,31,Other Banks/Depts,1,1,1,1,2,1,Non-Creditworthy
Some Balance,24,Paid Up,Home Related,3235,POUND_100-POUND_1000,4-7 yrs,3,None,,3,36,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
No Account,24,Some Problems,Used car,3349,POUND_100-POUND_1000,< 1yr,4,None,,4,30,Other Banks/Depts,3,1,1,2,2,1,Non-Creditworthy
Some Balance,24,Paid Up,Home Related,3430,POUND_100-POUND_1000,4-7 yrs,3,None,,3,31,Other Banks/Depts,2,1,1,2,2,1,Creditworthy
No Account,24,Some Problems,Used car,3552,None,1-4 yrs,3,None,,3,27,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
Some Balance,24,No Problems (in this bank),Other,3617,POUND_100-POUND_1000,4-7 yrs,4,Yes,4,4,,Other Banks/Depts,1,More than 1,1,1,1,1,Creditworthy
Some Balance,24,No Problems (in this bank),Used car,3617,POUND_100-POUND_1000,4-7 yrs,4,Yes,,4,20,Other Banks/Depts,1,More than 1,1,1,1,1,Creditworthy
No Account,24,Some Problems,New car,3632,None,< 1yr,1,Yes,,3,22,Other Banks/Depts,1,1,1,1,1,2,Creditworthy
Some Balance,24,Paid Up,Used car,3749,None,< 1yr,2,None,,3,26,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,24,Paid Up,Home Related,3757,None,4-7 yrs,4,Yes,,4,62,Other Banks/Depts,3,1,1,1,2,1,Creditworthy
Some Balance,24,No Problems (in this bank),New car,3868,None,4-7 yrs,4,None,,3,41,Other Banks/Depts,1,More than 1,1,1,2,1,Creditworthy
No Account,24,Paid Up,Used car,4020,None,< 1yr,2,None,,3,27,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,24,No Problems (in this bank),New car,4042,POUND_100-POUND_1000,1-4 yrs,3,None,,2,43,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
No Account,24,Paid Up,New car,4113,POUND_100-POUND_1000,< 1yr,3,None,,3,28,Other Banks/Depts,1,1,1,1,1,1,Non-Creditworthy
Some Balance,24,No Problems (in this bank),Home Related,4139,< POUND_100,< 1yr,3,None,,2,27,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
Some Balance,24,No Problems (in this bank),Used car,4151,< POUND_100,< 1yr,2,None,,2,35,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,24,Some Problems,Home Related,4241,None,< 1yr,1,None,4,1,36,Other Banks/Depts,2,More than 1,1,1,2,1,Non-Creditworthy
No Account,24,Paid Up,Used car,4351,POUND_100-POUND_1000,< 1yr,1,None,,2,48,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,24,No Problems (in this bank),Home Related,4526,None,< 1yr,3,None,2,1,74,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,24,Paid Up,Home Related,4591,POUND_100-POUND_1000,< 1yr,2,None,,2,54,Other Banks/Depts,2,More than 1,1,1,2,1,Non-Creditworthy
No Account,24,No Problems (in this bank),Used car,4736,None,< 1yr,2,None,,3,25,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
No Account,24,Paid Up,Home Related,4817,None,1-4 yrs,2,Yes,,2,31,Other Banks/Depts,2,1,1,1,2,1,Non-Creditworthy
No Account,24,No Problems (in this bank),Home Related,4870,None,< 1yr,3,None,,4,53,Other Banks/Depts,3,More than 1,1,2,1,1,Non-Creditworthy
Some Balance,24,No Problems (in this bank),Other,5103,None,< 1yr,3,None,3,4,,Other Banks/Depts,3,More than 1,1,1,2,1,Creditworthy
